,customer_code,age,customer_seniority,income,gender,customer_status,Cluster_Lables
0,816978,55,80,67804.53,M,1,-1
1,154073,50,187,109185.81,M,0,-1
2,739359,48,91,100030.77,F,1,1
3,482251,23,132,131938.74,M,1,1
4,922105,24,48,41739.18,F,1,0
5,482246,36,132,155734.95,F,1,1
6,482245,48,124,64455.33,F,0,1
7,482260,38,132,136272.24,M,0,1
8,93503,51,207,79961.82,M,1,-1
9,1029923,23,36,103388.22,M,0,0
10,153364,46,168,129992.94,M,1,-1
11,1014448,68,38,127009.41,M,1,0
12,482037,37,132,118617.03,F,0,1
13,482150,54,132,54782.73,M,1,1
14,482183,71,132,213216.18,M,0,1
15,578264,56,116,82284.48,F,0,1
16,480384,38,133,92724.66,F,1,1
17,953436,23,45,74400.87,F,1,0
18,482182,55,132,185314.98,F,1,1
19,482211,47,132,174164.7,M,1,1
20,1191310,21,21,118452.72,F,1,0
21,482113,41,132,100030.77,F,1,1
22,1330087,21,9,178818.39,F,0,0
23,934737,25,47,60691.32,F,0,0
24,1330092,26,9,199980.57,M,1,-1
25,1019420,39,37,127246.32,F,1,0
26,482264,71,118,146348.73,F,1,1
27,1314289,24,10,111247.86,F,0,0
28,479946,73,133,228947.43,M,0,1
29,482263,49,132,87248.82,M,1,1
30,482238,25,132,338871.96,F,1,1
31,482002,40,132,180674.16,M,1,1
32,687839,52,99,100030.77,M,0,1
33,1069796,53,34,91109.28,F,1,0
34,482031,44,132,274322.28,F,1,1
35,482028,40,132,77898.93,F,0,1
36,482015,52,126,57482.55,M,0,1
37,1202338,33,21,100030.77,M,1,0
38,482014,67,128,48593.7,F,0,1
39,482003,31,132,146925.66,F,0,1
40,1022429,46,36,35420.22,M,0,0
41,482241,38,132,48169.71,M,0,1
42,1062524,27,34,80929.92,F,1,0
43,482179,55,132,171283.56,F,0,1
44,1058717,33,34,70643.16,M,1,0
45,482156,74,132,124560.75,M,1,1
46,482162,71,132,159367.29,M,0,1
47,482201,45,132,100030.77,F,1,1
48,482199,84,132,153355.02,F,0,1
49,1074712,37,33,175007.52,M,1,0
50,482035,42,132,105212.76,M,0,1
51,1194900,23,21,131805.48,F,0,0
52,479898,40,133,108879.09,F,1,1
53,1043435,23,35,200726.04,F,0,0
54,481994,70,132,324716.28,M,1,1
55,482505,80,132,237097.38,F,1,1
56,94460,50,207,119260.05,M,1,-1
57,1194892,24,21,76894.71,F,0,0
58,482508,36,132,122674.68,M,0,1
59,482535,40,132,167985.81,F,1,1
60,480005,25,133,157512.93,F,1,1
61,313854,89,162,54631.44,M,0,-1
62,922101,32,48,55183.86,F,0,0
63,673450,47,102,106524.12,F,1,1
64,482178,38,132,181042.2,F,1,1
65,482120,47,132,117524.1,M,0,1
66,543194,64,120,96705.12,M,0,1
67,1058718,22,34,100030.77,F,1,0
68,904828,36,53,107472.84,M,1,0
69,482172,40,132,131403.78,M,1,1
70,482171,38,132,36282.96,M,0,1
71,483918,37,132,81296.82,M,1,1
72,337826,76,160,199549.5,F,1,-1
73,1165070,21,23,100048.5,F,1,0
74,485694,78,132,71774.58,F,1,1
75,482127,32,10,100030.77,F,0,1
76,485713,56,132,101375.04,F,1,1
77,482192,44,132,123479.19,M,1,1
78,100782,41,205,72879.93,F,1,-1
79,736008,23,91,100030.77,M,1,1
